# nonletter-usage migration ledger — the SHIPPED rule vs the three retired rules
# corpora=1504

## fleet ledger
retired_rule	total	preserved	coalesced	intentionally-moved	lost
punct.adjacency-anomaly	9354	1252	256	7846	0
lex.punct-only-token	4481	393	0	4088	0
punct.spacing-anomaly	27024	231	1418	25375	0
ALL	40859	1876	1674	37309	0

new_rule_findings_at_defaults	13709
lost_share	0.000000

## obligation (a) — adjacency findings that moved because sequence k = 2
# an old adjacency finding the rule declines at k=2 but WOULD emit at k=8:
# the pairing was already seen 2..7 times in this translation.
k2_specific_movers	908
share_of_adjacency_moved	0.115728
corpus	sid	pattern	context
WA-dav-reg	MRK 14:51	,;	…gho wakifunika kumzunguluka,; wamwhada ela…
WA-dav-reg	LUK 5:27	,:	…andu amweri kodi. Akamgoria,: Nnuge."…
WA-dav-reg	LUK 14:23	,;	…Mzuri akawagoria mtumishi,;'Genda katika chia mbaha n…
WA-dig-reg	LUK 1:34	?,	…Hiri rindaturukira chiviphi?, kwa kukara sidzambwe kura…
WA-dig-reg	LUK 1:42	.;;	… na kunena kwa sauti mbalia.;; ukabarikiwa uwe kahi za …
WA-dig-reg	LUK 1:42	;;	…na kunena kwa sauti mbalia.;; ukabarikiwa uwe kahi za a…
WA-mgz-reg	MRK 12:34	,.	…eya na osungati wa Moolongo,. Keento afo taariko baa oo…
WA-mgz-reg	LUK 13:9	.!	… lakini akunja tayaye oteme.!"…
WA-mgz-reg	LUK 14:30	.;	… akatole ngulu ja wekererya.;…
WA-dso-ulb	MAT 1:25	*:	…दाय ले हाँय तार लगे ना गला *: आऊरी हाँय तार नाओ यीशु सौ…
WA-dso-ulb	MAT 19:16	?*	…म करुआय कि अनन्त जीवन पायबी?*"…
WA-dso-ulb	MRK 2:19	,?	…, काय हाय उपवास करके सकू आत,? अतः जब तक दूल्हा हातार सं…
WA-gay-reg	MRK 6:2	,?	…ari hi mendepeten mehne oya,? hikmah hana si kona usahe…
WA-gay-reg	MRK 12:26	,?	…llah Ishak, nye Allah Yakub,?…
WA-gay-reg	MRK 13:7	.,	…, hal-hal ini turah terjadi., tapi akhir ari mehne gile…
