corpus	words	glyph	glyph_char	count	per1k	OPEN	CLOSE	MIDWORD	ISOLATED
Tech_Advance__amo_reg	168384	DQUOTE_STRAIGHT	"	3449	20.483	1737	128	7	1577
Tech_Advance__amo_reg	168384	APOS_STRAIGHT	'	670	3.979	324	42	40	264
Tech_Advance__amo_reg	168384	BACKTICK	`	1	0.006	0	0	0	1
Tech_Advance__bbm_reg	157162	DQUOTE_STRAIGHT	"	2	0.013	0	2	0	0
Tech_Advance__bbm_reg	157162	APOS_STRAIGHT	'	71	0.452	38	1	2	30
Tech_Advance__bbm_reg	157162	LDQUO	“	721	4.588	720	0	0	1
Tech_Advance__bbm_reg	157162	RDQUO	”	620	3.945	0	22	0	598
Tech_Advance__bbm_reg	157162	LAQUO	«	3	0.019	3	0	0	0
Tech_Advance__bbm_reg	157162	RAQUO	»	1	0.006	0	0	0	1
Tech_Advance__bsj_reg	153402	DQUOTE_STRAIGHT	"	18	0.117	0	9	0	9
Tech_Advance__bsj_reg	153402	APOS_STRAIGHT	'	381	2.484	0	7	373	1
Tech_Advance__bsj_reg	153402	LSQUO	‘	26	0.169	26	0	0	0
Tech_Advance__bsj_reg	153402	RSQUO	’	29	0.189	0	6	0	23
Tech_Advance__bsj_reg	153402	LDQUO	“	797	5.195	796	0	0	1
Tech_Advance__bsj_reg	153402	RDQUO	”	704	4.589	0	139	0	565
Tech_Advance__bsj_reg	153402	BACKTICK	`	1	0.007	0	1	0	0
Tech_Advance__ema-x-emai_reg	177039	DQUOTE_STRAIGHT	"	3289	18.578	1760	219	1	1309
Tech_Advance__ema-x-emai_reg	177039	APOS_STRAIGHT	'	3970	22.424	853	211	2807	99
Tech_Advance__ema-x-emai_reg	177039	BACKTICK	`	1	0.006	0	0	0	1
Tech_Advance__gux-x-gourmantche_reg	493999	DQUOTE_STRAIGHT	"	3368	6.818	1844	147	0	1377
Tech_Advance__gux-x-gourmantche_reg	493999	APOS_STRAIGHT	'	1801	3.646	482	40	999	280
Tech_Advance__gux-x-gourmantche_reg	493999	LAQUO	«	437	0.885	436	0	0	1
Tech_Advance__gux-x-gourmantche_reg	493999	RAQUO	»	324	0.656	0	105	0	219
Tech_Advance__gux-x-gourmantche_reg	493999	BACKTICK	`	3	0.006	0	0	0	3
Tech_Advance__gux-x-gourmantche_reg	493999	DIGRAPH_OPEN	<<	5	0.010	0	0	0	0
Tech_Advance__gux-x-gourmantche_reg	493999	DIGRAPH_CLOSE	>>	5	0.010	0	0	0	0
Tech_Advance__gux_reg	207565	DQUOTE_STRAIGHT	"	758	3.652	379	12	0	367
Tech_Advance__gux_reg	207565	APOS_STRAIGHT	'	205	0.988	104	5	0	96
Tech_Advance__gux_reg	207565	LAQUO	«	36	0.173	36	0	0	0
Tech_Advance__gux_reg	207565	RAQUO	»	35	0.169	0	15	0	20
Tech_Advance__gux_reg	207565	BACKTICK	`	4	0.019	4	0	0	0
Tech_Advance__jid_reg	180706	DQUOTE_STRAIGHT	"	16	0.089	0	8	1	7
Tech_Advance__jid_reg	180706	APOS_STRAIGHT	'	3587	19.850	177	401	2908	101
Tech_Advance__jid_reg	180706	LDQUO	“	1062	5.877	1061	0	0	1
Tech_Advance__jid_reg	180706	RDQUO	”	864	4.781	0	153	0	711
Tech_Advance__jid_reg	180706	BACKTICK	`	2	0.011	0	0	2	0
Tech_Advance__jni_reg	180522	DQUOTE_STRAIGHT	"	2450	13.572	1272	158	38	982
Tech_Advance__jni_reg	180522	APOS_STRAIGHT	'	703	3.894	113	76	426	88
Tech_Advance__jni_reg	180522	BACKTICK	`	1	0.006	1	0	0	0
Tech_Advance__kiz_reg	146620	DQUOTE_STRAIGHT	"	3453	23.551	1757	126	0	1570
Tech_Advance__kiz_reg	146620	APOS_STRAIGHT	'	9730	66.362	283	36	9174	237
Tech_Advance__kiz_reg	146620	BACKTICK	`	38	0.259	24	1	8	5
Tech_Advance__lko_reg	129792	DQUOTE_STRAIGHT	"	1187	9.145	600	70	4	513
Tech_Advance__lko_reg	129792	APOS_STRAIGHT	'	1839	14.169	46	8	1756	29
Tech_Advance__lko_reg	129792	BACKTICK	`	1	0.008	0	1	0	0
Tech_Advance__nyf-x-rabai_reg	142701	DQUOTE_STRAIGHT	"	1808	12.670	847	111	0	850
Tech_Advance__nyf-x-rabai_reg	142701	APOS_STRAIGHT	'	402	2.817	91	16	181	114
Tech_Advance__nyf-x-rabai_reg	142701	LSQUO	‘	171	1.198	171	0	0	0
Tech_Advance__nyf-x-rabai_reg	142701	RSQUO	’	164	1.149	0	45	56	63
Tech_Advance__nyf-x-rabai_reg	142701	LDQUO	“	554	3.882	550	1	0	3
Tech_Advance__nyf-x-rabai_reg	142701	RDQUO	”	580	4.064	0	77	0	503
Tech_Advance__nyn-x-runyaruguru_reg	110100	DQUOTE_STRAIGHT	"	2	0.018	0	1	1	0
Tech_Advance__nyn-x-runyaruguru_reg	110100	APOS_STRAIGHT	'	3992	36.258	5	36	3951	0
Tech_Advance__nyn-x-runyaruguru_reg	110100	RSQUO	’	57	0.518	0	1	56	0
Tech_Advance__nyn-x-runyaruguru_reg	110100	LDQUO	“	48	0.436	48	0	0	0
Tech_Advance__nyn-x-runyaruguru_reg	110100	RDQUO	”	48	0.436	0	10	0	38
